Purchase Price,AM or PM,Browser Info,Language,Company,Credit Card,CC Exp Date,CC Security Code,CC Provider,Address
38.62,AM,Opera/9.74.(Windows CE; it-IT) Presto/2.9.168 Version/11.00,el,Hebert-Martin,561284514925,08/25,273,Mastercard,200.223.143.18
92.4,AM,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/5331 (KHTML, like Gecko) Chrome/13.0.833.0 Safari/5331",zh,"Gonzalez, Roberts and Rodriguez",3096825492491807,06/26,1306,Discover,178.25.14.177
88.88,AM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_3; rv:1.9.3.20) Gecko/2010-01-16 23:09:22 Firefox/3.6.4,pt,"Meadows, Gregory and Smith",4351522807751367,04/20,898,VISA 16 digit,191.69.141.205
12.69,AM,Opera/8.95.(X11; Linux i686; sl-SI) Presto/2.9.186 Version/10.00,pt,Avila LLC,4119594183523382,09/23,272,JCB 15 digit,206.112.116.52
39.3,PM,Opera/8.69.(Windows 98; Win 9x 4.90; sl-SI) Presto/2.9.176 Version/11.00,ru,"Smith, Castaneda and Cohen",4654662520454818,06/25,313,Maestro,127.78.159.251
63.99,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/5.1),pt,"Hardy, Vincent and Hunt",5207062480583095,02/20,637,American Express,219.107.85.31
93.57,AM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_6; rv:1.9.6.20) Gecko/2010-03-17 00:00:49 Firefox/3.6.4,pt,"Farrell, Gomez and Oneill",4423207116033509,09/19,693,American Express,175.222.129.197
47.37,AM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2013-01-12 16:29:36 Firefox/3.6.12,zh,Williams-Henry,4235053471148,07/23,651,Discover,111.70.39.150
36.76,PM,Mozilla/5.0 (Windows NT 5.0; sl-SI; rv:1.9.0.20) Gecko/2012-10-20 23:49:15 Firefox/10.0,pt,Carroll-Adams,869999608350842,11/16,363,VISA 13 digit,151.60.249.123
61.29,PM,Opera/9.43.(X11; Linux x86_64; sl-SI) Presto/2.9.169 Version/12.00,el,West-Taylor,342958222081602,05/25,676,VISA 13 digit,107.98.17.153
61.64,PM,Opera/8.95.(Windows 95; sl-SI) Presto/2.9.165 Version/10.00,zh,Moore-Garcia,30272359191524,09/19,515,JCB 16 digit,44.11.253.149
16.81,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5341 (KHTML, like Gecko) Chrome/13.0.858.0 Safari/5341",fr,Morales LLC,180005981092456,07/17,958,VISA 16 digit,51.162.28.101
31.27,AM,Opera/8.89.(X11; Linux i686; en-US) Presto/2.9.176 Version/12.00,ru,"Patterson, Smith and Martin",30024279311710,07/25,817,Mastercard,247.54.122.102
26.53,PM,Opera/8.55.(Windows NT 6.2; en-US) Presto/2.9.166 Version/10.00,en,Hernandez PLC,180021781273014,06/20,367,JCB 15 digit,110.67.79.237
59.55,PM,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5332 (KHTML, like Gecko) Chrome/15.0.856.0 Safari/5332",de,"Johnson, Smith and Floyd",4701281537117,05/18,324,VISA 16 digit,124.102.94.51
9.57,PM,Mozilla/5.0 (Windows NT 6.1; it-IT; rv:1.9.1.20) Gecko/2013-06-24 17:51:50 Firefox/9.0,es,"Rodriguez, Lopez and Martin",4911167699546047,12/18,919,VISA 16 digit,137.140.88.69
19.91,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2011-10-05 06:24:57 Firefox/3.6.5,de,Smith Inc,3337308832404136,01/22,7,Discover,229.166.90.137
72.53,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_8) AppleWebKit/5350 (KHTML, like Gecko) Chrome/13.0.880.0 Safari/5350",ru,Griffin-Wilson,4954937088231825,10/18,425,JCB 16 digit,156.100.53.243
30.13,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.0),fr,Harrison Group,3528399212355906,06/21,723,JCB 15 digit,45.121.93.170
63.62,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Win 9x 4.90; Trident/4.1),pt,Vaughn-Haney,6011368428257989,08/23,739,Voyager,211.162.247.129
77.83,PM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_3 rv:6.0; sl-SI) AppleWebKit/532.38.7 (KHTML, like Gecko) Version/4.1 Safari/532.38.7",es,"Sanchez, Stanley and Acosta",341520094363293,10/21,744,JCB 16 digit,205.131.80.166
17.42,PM,Opera/8.30.(X11; Linux x86_64; it-IT) Presto/2.9.181 Version/12.00,es,Williams Group,3158106171771743,09/22,3526,JCB 15 digit,133.208.177.231
49.7,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; sl-SI) AppleWebKit/532.27.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6532.27.7",ru,Williams-Gardner,4725151086814,04/25,702,Discover,35.246.108.132
52.42,AM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/3.1),el,Richardson Group,5206306228366110,01/20,876,Maestro,36.124.205.99
27.9,PM,Opera/9.30.(Windows 98; sl-SI) Presto/2.9.188 Version/10.00,it,"Hatfield, Cameron and Powell",5136126494353104,05/23,558,Voyager,31.138.63.48
46.04,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2012-08-18 03:38:18 Firefox/3.8,en,Mccormick-Arnold,561263353253,05/17,335,JCB 16 digit,190.232.182.169
72.93,AM,Mozilla/5.0 (compatible; MSIE 5.0; Windows CE; Trident/3.1),es,"Harris, Montgomery and Garcia",30154236991252,10/21,82,Diners Club / Carte Blanche,87.209.189.13
35.92,PM,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5352 (KHTML, like Gecko) Chrome/15.0.857.0 Safari/5352",fr,Henderson and Sons,675932345738,11/18,703,VISA 16 digit,91.72.101.78
50.91,PM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_3; rv:1.9.5.20) Gecko/2016-05-26 00:49:33 Firefox/3.8,pt,"Baker, Hill and George",30139765066477,09/23,639,JCB 16 digit,168.146.244.146
46.27,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2011-08-04 03:28:47 Firefox/3.6.10,ru,Robinson Group,4862004980330162,05/24,570,Voyager,197.183.225.180
29.07,PM,Opera/8.83.(Windows CE; sl-SI) Presto/2.9.183 Version/12.00,fr,Duarte-Ortiz,3112521860682487,12/17,80,Maestro,77.85.103.50
16.6,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_6 rv:2.0; it-IT) AppleWebKit/535.9.4 (KHTML, like Gecko) Version/5.0.4 Safari/535.9.4",pt,"Wright, Rogers and Kidd",376011828395551,11/18,863,American Express,226.54.75.235
1.13,PM,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/535.16.5 (KHTML, like Gecko) Version/5.0.3 Safari/535.16.5",en,Haynes-Smith,30114347552948,03/19,938,Maestro,19.243.114.48
15.55,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_2 rv:5.0; en-US) AppleWebKit/535.14.4 (KHTML, like Gecko) Version/4.0.5 Safari/535.14.4",es,Blake PLC,3337073179161653,05/17,978,VISA 16 digit,135.55.38.81
40.52,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/4.1),es,"Wilkins, Bowers and Jackson",4989081421054658,05/17,956,Diners Club / Carte Blanche,243.57.106.172
18.9,AM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_5 rv:2.0; sl-SI) AppleWebKit/535.12.4 (KHTML, like Gecko) Version/5.0.4 Safari/535.12.4",fr,"Arnold, Fischer and Bryan",869920059885441,07/21,614,Voyager,178.27.79.214
97.4,PM,Opera/9.34.(X11; Linux x86_64; it-IT) Presto/2.9.160 Version/11.00,el,Dixon Inc,180037527297976,05/17,680,VISA 13 digit,102.115.56.90
44.91,PM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_4) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.803.0 Safari/5331",ru,Li and Sons,374720999654370,01/18,844,JCB 15 digit,203.210.193.18
52.32,AM,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.0),el,Eaton Inc,30247217372185,11/19,557,VISA 16 digit,109.65.172.152
20.98,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2014-12-27 19:33:43 Firefox/3.8,en,Webb PLC,3528307544043561,03/24,72,JCB 16 digit,202.204.57.77
19.66,AM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5331 (KHTML, like Gecko) Chrome/14.0.891.0 Safari/5331",pt,Bridges-Lewis,5248364713742352,09/18,775,VISA 16 digit,181.247.46.127
10.39,PM,Opera/8.78.(Windows NT 5.01; it-IT) Presto/2.9.183 Version/11.00,el,Smith-Montoya,3096974671691454,04/25,869,American Express,128.255.179.93
29.83,AM,"Mozilla/5.0 (Windows CE) AppleWebKit/5332 (KHTML, like Gecko) Chrome/14.0.816.0 Safari/5332",en,Thompson-Mccarthy,6011121832070450,11/19,216,Discover,129.127.197.14
36.21,PM,Opera/8.64.(Windows NT 6.0; it-IT) Presto/2.9.175 Version/12.00,zh,Andrews-Bridges,4412975030762576,01/18,283,VISA 16 digit,144.170.99.172
3.96,PM,Opera/8.51.(X11; Linux i686; sl-SI) Presto/2.9.172 Version/12.00,pt,Franklin and Sons,30436195348529,05/21,303,Voyager,29.114.48.209
14.83,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; en-US) AppleWebKit/535.13.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6535.13.5",es,"Charles, Stewart and Moreno",5184521826647630,01/18,759,JCB 15 digit,103.191.128.107
17.96,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_0 rv:4.0; en-US) AppleWebKit/533.38.7 (KHTML, like Gecko) Version/5.0.3 Safari/533.38.7",es,Huang LLC,4103091413225910,09/17,228,American Express,100.185.68.70
38.97,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; sl-SI) AppleWebKit/533.47.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B112 Safari/6533.47.4",de,Snyder-Townsend,869968456149036,07/26,26,JCB 15 digit,22.64.101.125
36.85,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/4.0),it,"Riley, Reyes and Garrett",869976022978218,04/24,943,JCB 15 digit,117.129.89.209
52.93,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.0; Trident/3.0),it,Johnson LLC,180097520745181,09/19,167,Diners Club / Carte Blanche,144.151.87.214
14.6,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6 rv:5.0; it-IT) AppleWebKit/533.26.7 (KHTML, like Gecko) Version/4.0.1 Safari/533.26.7",es,"Green, Schultz and Thompson",371625657284456,10/18,373,Maestro,105.104.193.80
47.74,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; it-IT) AppleWebKit/532.5.5 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6532.5.5",el,Potter PLC,3112849508061818,09/25,366,JCB 16 digit,91.100.222.98
39.2,PM,Mozilla/5.0 (Windows NT 6.1; en-US; rv:1.9.2.20) Gecko/2016-01-19 04:20:49 Firefox/3.8,el,"Gibson, Stein and Green",4112503947519229,09/17,243,JCB 15 digit,223.243.106.68
54.57,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_6 rv:4.0; sl-SI) AppleWebKit/532.36.7 (KHTML, like Gecko) Version/4.0 Safari/532.36.7",zh,"Johnson, Smith and Smith",4412003153304,02/25,726,Mastercard,42.171.16.230
35.93,AM,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/5342 (KHTML, like Gecko) Chrome/15.0.855.0 Safari/5342",ru,Henderson-Carpenter,6011539591045274,03/20,148,American Express,174.157.118.221
19.46,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_4 rv:6.0; en-US) AppleWebKit/531.44.4 (KHTML, like Gecko) Version/4.0 Safari/531.44.4",fr,Wilson LLC,3337738223796031,01/24,590,Discover,86.244.30.150
42.55,AM,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/532.33.6 (KHTML, like Gecko) Version/4.0.1 Safari/532.33.6",de,"Cantrell, Bean and Fields",30118484749217,09/22,715,Maestro,68.25.16.159
98.73,PM,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_2; rv:1.9.4.20) Gecko/2010-07-08 23:15:58 Firefox/3.6.5,el,Foster PLC,639089144625,07/21,461,Mastercard,4.130.123.104
34.6,AM,Opera/8.10.(Windows NT 6.2; en-US) Presto/2.9.190 Version/11.00,it,Steele-Bowman,4009782460395,04/26,662,American Express,60.253.229.46
66.1,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; it-IT) AppleWebKit/533.32.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6533.32.4",pt,"Garcia, Taylor and Owens",180093214037761,10/16,869,Discover,44.34.41.87
85.97,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; it-IT) AppleWebKit/533.31.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6533.31.4",it,Acosta-Park,676285233166,07/20,774,Mastercard,115.97.173.142
86.24,PM,Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.2.20) Gecko/2015-02-11 04:26:14 Firefox/3.8,en,Mathis Inc,30512317410189,08/18,844,Maestro,140.80.222.222
87.46,AM,Mozilla/5.0 (Windows 95; en-US; rv:1.9.1.20) Gecko/2010-09-11 05:42:12 Firefox/3.6.17,fr,"Taylor, Gonzalez and Thompson",869951635010386,07/25,75,VISA 16 digit,108.112.43.236
22.62,PM,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/5342 (KHTML, like Gecko) Chrome/13.0.848.0 Safari/5342",en,Johnson-Payne,4420372438941,04/19,694,Maestro,39.189.23.84
53.26,AM,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/533.1.2 (KHTML, like Gecko) Version/5.1 Safari/533.1.2",ru,"Berry, Ford and Nelson",341360223403540,04/26,760,VISA 16 digit,136.169.178.239
4.16,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5312 (KHTML, like Gecko) Chrome/13.0.882.0 Safari/5312",es,Joyce-Scott,210009224686276,01/21,312,VISA 16 digit,163.239.33.146
9.46,AM,Opera/8.17.(X11; Linux i686; sl-SI) Presto/2.9.177 Version/12.00,zh,Allen Ltd,869913777462189,04/24,104,VISA 13 digit,214.77.81.64
39.34,PM,Mozilla/5.0 (Windows CE; en-US; rv:1.9.1.20) Gecko/2011-03-30 18:39:57 Firefox/3.6.2,fr,"Palmer, Kramer and Montgomery",503813492975,05/25,806,Maestro,195.221.212.183
4.75,PM,Opera/9.49.(Windows NT 5.01; sl-SI) Presto/2.9.185 Version/10.00,ru,"Castillo, Mcdaniel and Rose",4164936684696783,10/21,699,VISA 16 digit,82.144.169.9
57.82,PM,Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.0.20) Gecko/2015-02-10 20:15:16 Firefox/3.6.11,fr,Alexander and Sons,5317853638185545,04/18,890,American Express,118.68.150.76
10.66,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/5.1),pt,Rogers PLC,676256980688,10/23,535,JCB 16 digit,103.251.164.113
53.53,PM,Opera/8.56.(X11; Linux i686; sl-SI) Presto/2.9.176 Version/12.00,es,"Pollard, Carter and Hughes",5232508525792355,08/19,509,Discover,65.189.102.62
15.87,AM,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.865.0 Safari/5331",de,Morris Group,3096845904479497,02/26,663,VISA 16 digit,161.44.105.84
55.62,AM,"Mozilla/5.0 (Windows NT 5.0) AppleWebKit/5342 (KHTML, like Gecko) Chrome/14.0.872.0 Safari/5342",fr,Smith PLC,5311312584466504,01/26,763,Discover,250.172.159.172
85.09,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5311 (KHTML, like Gecko) Chrome/13.0.816.0 Safari/5311",el,Morrow-Drake,676165659738,04/26,152,American Express,128.110.10.190
21.09,PM,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5340 (KHTML, like Gecko) Chrome/15.0.838.0 Safari/5340",it,"Kramer, Johnson and Kim",4399238669107689,07/21,648,Mastercard,9.187.112.69
69.56,AM,Mozilla/5.0 (Windows NT 5.1; sl-SI; rv:1.9.1.20) Gecko/2011-09-16 00:22:08 Firefox/3.6.3,zh,Perkins-Stout,5481690979067936,01/18,883,JCB 15 digit,139.137.235.245
94.56,PM,Opera/9.93.(X11; Linux x86_64; sl-SI) Presto/2.9.165 Version/11.00,fr,"Dawson, Roberts and Stewart",210085889912165,11/19,796,Maestro,1.187.121.237
99.69,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/5350 (KHTML, like Gecko) Chrome/14.0.814.0 Safari/5350",el,"Vega, Harper and Forbes",869968935094894,06/25,937,Diners Club / Carte Blanche,58.70.152.182
92.18,PM,Mozilla/5.0 (Windows NT 6.0; it-IT; rv:1.9.2.20) Gecko/2012-06-30 17:24:13 Firefox/14.0,es,Kane and Sons,4340198209629966,12/17,760,Voyager,215.135.88.233
40.0,PM,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_8; rv:1.9.5.20) Gecko/2014-02-13 14:14:49 Firefox/3.8,pt,Cruz Inc,344242402347754,10/24,403,Maestro,66.180.139.122
75.77,AM,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/4.0),pt,Beltran-Mccarthy,676364243631,08/25,434,Diners Club / Carte Blanche,66.162.91.33
64.54,PM,Opera/8.87.(Windows 95; it-IT) Presto/2.9.186 Version/12.00,ru,Sharp Inc,4824623250858,09/24,386,JCB 16 digit,109.154.176.89
10.3,AM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/5.1),zh,Stewart Inc,371225008753356,11/19,798,Diners Club / Carte Blanche,98.30.57.198
50.26,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_9) AppleWebKit/5310 (KHTML, like Gecko) Chrome/14.0.880.0 Safari/5310",de,Deleon PLC,869957682917878,01/21,505,VISA 13 digit,100.38.210.88
93.71,AM,Mozilla/5.0 (Windows 95; it-IT; rv:1.9.0.20) Gecko/2014-04-06 10:05:17 Firefox/3.8,ru,"Lopez, Garcia and Martinez",5579363989601622,02/22,5764,JCB 16 digit,64.220.206.6
46.12,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; it-IT) AppleWebKit/534.18.2 (KHTML, like Gecko) Version/4.0.5 Mobile/8B111 Safari/6534.18.2",zh,Lopez-Andrade,3112426991909272,07/17,2633,JCB 16 digit,12.55.14.246
32.36,PM,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.22.6 (KHTML, like Gecko) Version/5.1 Safari/535.22.6",it,"Reid, Russell and Wright",6011079718268723,05/24,235,American Express,78.161.243.132
92.92,AM,Opera/8.77.(Windows NT 5.1; it-IT) Presto/2.9.187 Version/12.00,zh,Sullivan-Brooks,3088899252177849,11/18,643,JCB 16 digit,98.151.71.26
70.53,AM,Opera/8.52.(X11; Linux i686; en-US) Presto/2.9.188 Version/11.00,zh,West Inc,4389484647246,10/18,644,Mastercard,119.158.1.165
44.99,AM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_1) AppleWebKit/5332 (KHTML, like Gecko) Chrome/13.0.827.0 Safari/5332",pt,"Hamilton, Collins and Moreno",5356533586187329,04/26,849,Discover,94.131.241.202
29.95,PM,Mozilla/5.0 (Windows NT 5.2; en-US; rv:1.9.2.20) Gecko/2012-06-26 01:21:50 Firefox/3.8,en,Ross Inc,869966197385067,10/16,408,VISA 16 digit,161.79.117.85
29.53,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2011-05-17 15:03:36 Firefox/3.8,fr,"Taylor, Gibson and Marsh",5232559786816300,08/22,163,Discover,230.247.103.213
12.7,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2 rv:6.0; en-US) AppleWebKit/531.45.6 (KHTML, like Gecko) Version/4.0.4 Safari/531.45.6",el,Knight Group,501827317006,03/26,8957,JCB 16 digit,156.65.149.50
6.6,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_4) AppleWebKit/5322 (KHTML, like Gecko) Chrome/15.0.896.0 Safari/5322",en,"Rogers, Johnson and Hale",3096062257202027,03/25,605,Discover,91.111.41.55
59.14,AM,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5311 (KHTML, like Gecko) Chrome/13.0.864.0 Safari/5311",el,"Howard, Johnson and Villa",869947711705717,05/23,958,Discover,222.150.76.225
47.65,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/5.0),es,Johnson LLC,3096716743786980,03/19,359,American Express,64.141.123.171
35.83,PM,Opera/9.23.(Windows NT 5.01; sl-SI) Presto/2.9.189 Version/11.00,pt,"Washington, Hays and Chapman",341345793076081,03/25,783,VISA 16 digit,206.253.86.118
56.7,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_8 rv:3.0; en-US) AppleWebKit/533.12.2 (KHTML, like Gecko) Version/4.0 Safari/533.12.2",el,Smith Group,4644356098087885,02/19,510,JCB 16 digit,35.113.65.26
83.54,PM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3; rv:1.9.5.20) Gecko/2012-11-14 16:06:37 Firefox/9.0,en,Smith-Jarvis,4875395840375,09/23,161,JCB 16 digit,51.16.17.218
19.78,PM,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/4.0),en,"Guerrero, Anderson and Mccarthy",4926117770603707,03/17,204,American Express,91.235.217.136
43.71,PM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_2; rv:1.9.4.20) Gecko/2012-05-05 05:27:31 Firefox/7.0,es,Wood Inc,4900243855380589,06/21,83,JCB 16 digit,214.253.73.206
25.83,AM,Opera/9.64.(X11; Linux i686; sl-SI) Presto/2.9.167 Version/10.00,el,Morrison-Washington,3158650381330212,04/19,315,VISA 16 digit,172.167.220.40
48.21,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_1) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.832.0 Safari/5331",pt,Jacobs-Rosales,5245956226455308,11/16,351,Maestro,204.187.174.244
3.37,PM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_7; rv:1.9.6.20) Gecko/2010-03-17 00:07:15 Firefox/3.8,zh,Mcbride Group,30319747402525,06/22,969,VISA 16 digit,41.108.195.82
81.25,AM,Opera/9.60.(Windows NT 5.1; en-US) Presto/2.9.171 Version/12.00,de,"Rodgers, Burns and Smith",30584685266667,09/23,307,VISA 16 digit,100.208.164.233
10.92,PM,Mozilla/5.0 (Windows NT 6.1; it-IT; rv:1.9.2.20) Gecko/2010-02-08 11:58:38 Firefox/3.8,es,Todd Ltd,30131898969230,07/25,912,JCB 15 digit,172.25.1.80
58.2,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; sl-SI) AppleWebKit/531.12.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B118 Safari/6531.12.4",zh,Nicholson-Shields,675957359465,01/18,564,VISA 16 digit,15.82.32.145
76.46,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.0; Trident/5.0),es,Campbell Ltd,676345618927,12/20,154,Diners Club / Carte Blanche,166.109.178.73
3.49,AM,Opera/9.63.(Windows NT 5.1; en-US) Presto/2.9.162 Version/11.00,it,Vaughn-Mitchell,630495185120,06/26,137,American Express,127.165.17.222
30.24,AM,Opera/8.33.(Windows NT 5.0; sl-SI) Presto/2.9.164 Version/12.00,fr,Santana LLC,6011496508860545,10/19,738,Discover,19.126.14.139
72.69,PM,Opera/9.78.(Windows 95; en-US) Presto/2.9.173 Version/10.00,zh,Bradshaw-Rice,60468364983,12/17,310,Diners Club / Carte Blanche,212.21.149.68
73.43,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2016-02-29 00:30:50 Firefox/12.0,pt,Proctor-Foster,869932616290874,01/23,485,JCB 16 digit,56.185.114.99
59.02,AM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; en-US) AppleWebKit/535.15.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6535.15.3",es,Smith-Kline,180098621857776,09/20,236,JCB 15 digit,254.43.162.162
42.05,PM,Opera/9.20.(X11; Linux i686; en-US) Presto/2.9.175 Version/10.00,zh,Wood-Baldwin,60452813649,08/23,532,Maestro,147.129.232.129
37.68,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_7) AppleWebKit/5360 (KHTML, like Gecko) Chrome/15.0.892.0 Safari/5360",de,Jones-Jones,30247194929676,07/23,671,JCB 16 digit,204.86.168.44
55.46,AM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2013-06-18 12:45:06 Firefox/15.0,fr,Sherman Ltd,3528387531205373,03/23,716,Discover,72.23.70.43
99.9,PM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4; rv:1.9.2.20) Gecko/2012-07-11 07:34:15 Firefox/3.6.7,de,Walker Group,869911376939318,06/20,897,JCB 16 digit,62.209.46.176
98.25,AM,Opera/8.88.(X11; Linux x86_64; en-US) Presto/2.9.165 Version/12.00,fr,"Lopez, Hernandez and Anderson",5499370010035495,01/25,801,Diners Club / Carte Blanche,50.122.218.67
39.59,PM,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2015-03-23 22:57:04 Firefox/3.8,en,"Cruz, Fuller and Anderson",5211390373802411,12/18,665,JCB 16 digit,151.109.21.154
84.91,AM,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_5 rv:3.0; en-US) AppleWebKit/531.30.3 (KHTML, like Gecko) Version/5.0.1 Safari/531.30.3",pt,Compton-Sanford,3337545187134897,06/23,9380,JCB 15 digit,225.59.125.36
28.92,AM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_7; rv:1.9.6.20) Gecko/2014-08-06 18:37:30 Firefox/3.8,en,Hill Ltd,377061751469716,08/19,249,JCB 15 digit,123.79.167.162
3.2,PM,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/4.0),fr,"Anderson, Ramirez and Phillips",5399023457578615,10/16,549,JCB 15 digit,172.91.99.140
63.37,AM,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_1; rv:1.9.4.20) Gecko/2013-03-15 08:46:00 Firefox/8.0,es,"Watson, Warren and Santiago",3096151937440790,10/22,342,VISA 16 digit,209.216.253.182
81.02,AM,Opera/9.34.(Windows NT 6.0; it-IT) Presto/2.9.162 Version/11.00,de,Flores Group,6011853839744170,01/22,88,Diners Club / Carte Blanche,132.169.232.17
99.15,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_4) AppleWebKit/5350 (KHTML, like Gecko) Chrome/14.0.806.0 Safari/5350",de,Ross-Terry,6011059936202035,09/22,767,Maestro,120.124.45.250
